name,brand,2G,3G,4G,5G,Announced,Status,Weight,Length,Width,Diameter,SIM,Display Type,Display Size,PPI,Body Ratio,OS,Battery_capacity,Price,CPU,Ratio,Pixel,WLAN,Colors,Sensors,Bluetooth,GPU,LoudSpeaker,3.5mm jack,Chipset,Network,Internal,Card slot,RAM,Storage
Xperia Arc S,Sony,False,False,False,False,"2011, August. Released 2011, September",Discontinued,117 g (4.13 oz),125,63,8.7 mm (4.92,Mini-SIM,"LED-backlit LCD,","4.2 inches, 48.6 cm2(~61.7% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~233 ppi density)",61.7%,"Android 2.3.4 (Gingerbread), 4.0.4 (Ice Cream Sandwich), not upgradable to 4.1 (Jelly Bean)",Removable Li-Po 1500 mAh battery,About 210 EUR,Qualcomm MSM8255T Snapdragon S2,"480 x 854 pixels, 16:9 ratio (~233 ppi density)",233 ppi density),"Wi-Fi 802.11 b/g/n, DLNA, hotspot","Pure White, Midnight Blue, Misty Silver, Gloss Black, Sakura Pink","Accelerometer, proximity, compass","2.1, A2DP, EDR",Adreno 205,True,True,Qualcomm MSM8255T Snapdragon S2,GSM / HSPA,,,"1GB (320MB user available), 512MB RAM","1GB (320MB user available), 512MB RAM"
Xperia neo V,Sony,False,False,False,False,"2011, August. Released 2011, October",Discontinued,126 g (4.44 oz),116,57,13 mm (4.57,Mini-SIM,"LED-backlit LCD,","3.7 inches, 37.7 cm2(~57.1% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~265 ppi density)",57.1%,"Android 2.3.4 (Gingerbread), upgradable to 4.0 (Ice Cream Sandwich)",Removable Li-Po 1500 mAh battery,About 150 EUR,Qualcomm MSM8255 Snapdragon S2,"480 x 854 pixels, 16:9 ratio (~265 ppi density)",265 ppi density),"Wi-Fi 802.11 b/g/n, DLNA, hotspot","White, Blue Gradient, Silver","Accelerometer, proximity, compass","2.1, A2DP, EDR",Adreno 205,True,True,Qualcomm MSM8255 Snapdragon S2,GSM / HSPA,,,"1GB (320MB user available), 512MB RAM","1GB (320MB user available), 512MB RAM"
Live with Walkman,Sony,False,False,False,False,"2011, August. Released 2011, October",Discontinued,115 g (4.06 oz),106,56.5,14.2 mm (4.17,Mini-SIM,TFT,"3.2 inches, 30.5 cm2(~50.9% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~180 ppi density)",50.9%,"Android 2.3 (Gingerbread), upgradable to 4.0 (Ice Cream Sandwich)",Removable Li-Ion 1200 mAh battery,About 120 EUR,Qualcomm MSM8255 Snapdragon S2,"320 x 480 pixels, 3:2 ratio (~180 ppi density)",180 ppi density),"Wi-Fi 802.11 b/g/n, DLNA, hotspot","Black, White","Accelerometer, proximity, compass","2.1, A2DP, EDR",Adreno 205,False,True,Qualcomm MSM8255 Snapdragon S2,GSM / HSPA,,,320MB 512MB RAM,320MB 512MB RAM
Xperia ray,Sony,False,False,False,False,"2011, June. Released 2011, August",Discontinued,100 g (3.53 oz),111,53,9.4 mm (4.37,Mini-SIM,"LED-backlit LCD,","3.3 inches, 30.0 cm2(~51.0% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~297 ppi density)",51.0%,"Android 2.3 (Gingerbread), upgradable to 4.0.4 (Ice Cream Sandwich)",Removable Li-Ion 1500 mAh battery,About 170 EUR,Qualcomm MSM8255 Snapdragon S2,"480 x 854 pixels, 16:9 ratio (~297 ppi density)",297 ppi density),"Wi-Fi 802.11 b/g/n, DLNA, hotspot","Black, Gold, White, Pink","Accelerometer, proximity, compass","2.1, A2DP, EDR",Adreno 205,True,True,Qualcomm MSM8255 Snapdragon S2,GSM / HSPA,,,"1GB (300MB user available), 512MB RAM","1GB (300MB user available), 512MB RAM"
Xperia active,Sony,False,False,False,False,"2011, June. Released 2011, October",Discontinued,110.8 g (3.88 oz),92,55,16.5 mm (3.62,Mini-SIM,"LED-backlit LCD,","3.0 inches, 26.8 cm2(~53.0% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~192 ppi density)",53.0%,"Android 2.3 (Gingerbread), upgradable to 4.0 (Ice Cream Sandwich)",Removable Li-Ion 1200 mAh battery,About 170 EUR,Qualcomm MSM8255 Snapdragon S2,"320 x 480 pixels, 3:2 ratio (~192 ppi density)",192 ppi density),"Wi-Fi 802.11 b/g/n, DLNA, hotspot","Orange/Black, White/Black","Accelerometer, proximity, compass","2.1, A2DP, EDR",Adreno 205,True,True,Qualcomm MSM8255 Snapdragon S2,GSM / HSPA,,,"1GB (320MB user available), 512MB RAM","1GB (320MB user available), 512MB RAM"
txt,Sony,False,False,False,False,"2011, June. Released 2011, October",Discontinued,95 g (3.35 oz),106,60,14.5 mm (4.17,,"TFT,  256K colors","2.55 inches, 20.1 cm2(~31.7% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~157 ppi density)",31.7%,,Removable Li-Ion 1000 mAh battery,About 60 EUR,,"320 x 240 pixels, 4:3 ratio (~157 ppi density)",157 ppi density),Wi-Fi 802.11 b/g,"Black, Blue, White, Pink",,"2.1, A2DP, EDR",,True,True,,GSM,,,"120MB (100MB user available), 64MB RAM","120MB (100MB user available), 64MB RAM"
Mix Walkman,Sony,False,False,False,False,"2011, June. Released 2011, August",Discontinued,88 g (3.10 oz),95.8,52.8,14.3 mm (3.77,Mini-SIM,"TFT, 256K colors","3.0 inches, 25.6 cm2(~50.6% screen-to-body ratio)","240 x 400 pixels, 5:3 ratio (~155 ppi density)",50.6%,,Removable Li-Ion 1000 mAh battery,About 70 EUR,,"240 x 400 pixels, 5:3 ratio (~155 ppi density)",155 ppi density),Wi-Fi 802.11 b/g,"Black with pink cloud band, Black with pink band, Black with green bird band, Black with green band","Accelerometer, proximity","2.1, A2DP",,True,True,,GSM,,,,
txt pro,Sony,False,False,False,False,"2011, June. Released 2011, July",Discontinued,100 g (3.53 oz),93,52,18 mm (3.66,,"TFT, 256K colors","3.0 inches, 25.6 cm2(~53.0% screen-to-body ratio)","240 x 400 pixels, 5:3 ratio (~155 ppi density)",53.0%,,Removable Li-Ion 1000 mAh battery,About 80 EUR,,"240 x 400 pixels, 5:3 ratio (~155 ppi density)",155 ppi density),Wi-Fi 802.11 b/g,"Black, White, Pink","Accelerometer, proximity","2.1, A2DP",,True,True,,GSM,,,100MB 64MB RAM,100MB 64MB RAM
Xperia mini,Sony,False,False,False,False,"2011, May. Released 2011, August",Discontinued,99 g (3.49 oz),88,52,16 mm (3.46,Mini-SIM,"LED-backlit LCD,","3.0 inches, 26.8 cm2(~58.6% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~192 ppi density)",58.6%,"Android 2.3 (Gingerbread), upgradable to 4.0 (Ice Cream Sandwich)",Removable Li-Ion 1200 mAh battery,About 120 EUR,Qualcomm MSM8255 Snapdragon S2,"320 x 480 pixels, 3:2 ratio (~192 ppi density)",192 ppi density),"Wi-Fi 802.11 b/g/n, DLNA, hotspot","Black, White, Blue, Dark pink","Accelerometer, proximity, compass","2.1, A2DP",Adreno 205,True,True,Qualcomm MSM8255 Snapdragon S2,GSM / HSPA,,,"512MB RAM, 320MB","512MB RAM, 320MB"
Xperia mini pro,Sony,False,False,False,False,"2011, May. Released 2011, August",Discontinued,136 g (4.80 oz),92,53,18 mm (3.62,,"LED-backlit LCD,","3.0 inches, 26.8 cm2(~55.0% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~192 ppi density)",55.0%,"Android 2.3 (Gingerbread), 4.0 (Ice Cream Sandwich), not upgradable to 4.1 (Jelly Bean)",Removable Li-Ion 1200 mAh battery,About 140 EUR,Qualcomm MSM8255 Snapdragon S2,"320 x 480 pixels, 3:2 ratio (~192 ppi density)",192 ppi density),"Wi-Fi 802.11 b/g/n, DLNA, hotspot","Black, White, Pink, Turquoise","Accelerometer, proximity, compass","2.1, A2DP",Adreno 205,True,True,Qualcomm MSM8255 Snapdragon S2,GSM / HSPA,,,"512MB RAM, 400MB","512MB RAM, 400MB"
WT18i,Sony,False,False,False,False,"2011, May. Released 2011, Q3",Discontinued,110 g (3.88 oz),106,56.5,14.3 mm (4.17,Mini-SIM,TFT,"3.2 inches, 30.5 cm2(~50.9% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~180 ppi density)",50.9%,"Android-based, OMS 2.5",Removable Li-Po 1200 mAh battery,About 230 EUR,,"320 x 480 pixels, 3:2 ratio (~180 ppi density)",180 ppi density),Wi-Fi 802.11 b/g/n,"Black, White","Accelerometer, proximity, compass","2.1, A2DP",,True,True,,GSM,,,,
W8,Sony,False,False,False,False,"2011, April. Released 2011, May",Discontinued,104 g (3.67 oz),99,54,15 mm (3.90,Mini-SIM,TFT,"3.0 inches, 26.8 cm2(~50.1% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~192 ppi density)",50.1%,Android 2.1 (Eclair),Removable Li-Po 1200 mAh battery,About 100 EUR,Qualcomm MSM7227 Snapdragon S1,"320 x 480 pixels, 3:2 ratio (~192 ppi density)",192 ppi density),Wi-Fi 802.11 b/g,"Azure, Orange, Red","Accelerometer, proximity, compass","2.1, A2DP",Adreno 200,True,True,Qualcomm MSM7227 Snapdragon S1,GSM / HSPA,,,128MB 168MB RAM,128MB 168MB RAM
Xperia PLAY,Sony,False,False,False,False,"2011, February. Released 2011, March",Discontinued,175 g (6.17 oz),119,62,16 mm (4.69,Mini-SIM,"LED-backlit LCD,","4.0 inches, 44.1 cm2(~59.8% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~245 ppi density)",59.8%,Android 2.3.4 (Gingerbread),Removable Li-Ion 1500 mAh battery,About 140 EUR,Qualcomm MSM8255 Snapdragon S2,"480 x 854 pixels, 16:9 ratio (~245 ppi density)",245 ppi density),"Wi-Fi 802.11 b/g/n, DLNA, hotspot","Black, White, Stealth Blue (for Play 4G), Orange","Accelerometer, proximity, compass","2.1, A2DP, EDR",Adreno 205,False,True,Qualcomm MSM8255 Snapdragon S2,GSM / HSPA,,,400MB 512MB RAM,400MB 512MB RAM
Xperia pro,Sony,False,False,False,False,"2011, February. Released  2011, October",Discontinued,142 g (5.01 oz),120,57,15.3 mm (4.72,,"LED-backlit LCD,","3.7 inches, 37.7 cm2(~55.2% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~265 ppi density)",55.2%,"Android 2.3 (Gingerbread), upgradable to 4.0 (Ice Cream Sandwich)",Removable Li-Po 1500 mAh battery,About 190 EUR,Qualcomm MSM8255 Snapdragon S2,"480 x 854 pixels, 16:9 ratio (~265 ppi density)",265 ppi density),"Wi-Fi 802.11 b/g/n, DLNA, hotspot","Black, Silver, Red","Accelerometer, proximity","2.1, A2DP",Adreno 205,True,True,Qualcomm MSM8255 Snapdragon S2,GSM / HSPA,,,"1GB (320MB user available), 512MB RAM","1GB (320MB user available), 512MB RAM"
Xperia Neo,Sony,False,False,False,False,"2011, February. Released 2011, March",Discontinued,126 g (4.44 oz),116,57,13 mm (4.57,Mini-SIM,"LED-backlit LCD,","3.7 inches, 37.7 cm2(~57.1% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~265 ppi density)",57.1%,"Android 2.3.4 (Gingerbread), upgradable to 4.0 (Ice Cream Sandwich)",Removable Li-Ion 1500 mAh battery,About 110 EUR,Qualcomm MSM8255 Snapdragon S2,"480 x 854 pixels, 16:9 ratio (~265 ppi density)",265 ppi density),"Wi-Fi 802.11 b/g/n, DLNA, hotspot","Blue Gradient, Red, Silver","Accelerometer, proximity, compass","2.1, A2DP",Adreno 205,True,True,Qualcomm MSM8255 Snapdragon S2,GSM / HSPA,,,320MB 512MB RAM,320MB 512MB RAM
Xperia Arc,Sony,False,False,False,False,"2011, January. Released 2011, March",Discontinued,117 g (4.13 oz),125,63,8.7 mm (4.92,Mini-SIM,"LED-backlit LCD,","4.2 inches, 48.6 cm2(~61.7% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~233 ppi density)",61.7%,"Android 2.3 (Gingerbread), upgradable to 4.0 (Ice Cream Sandwich)",Removable Li-Po 1500 mAh battery,About 180 EUR,Qualcomm MSM8255 Snapdragon S2,"480 x 854 pixels, 16:9 ratio (~233 ppi density)",233 ppi density),"Wi-Fi 802.11 b/g/n, DLNA, hotspot","Midnight Blue, Misty Silver","Accelerometer, proximity, compass","2.1, A2DP",Adreno 205,True,True,Qualcomm MSM8255 Snapdragon S2,GSM / HSPA,,,320MB 512MB RAM,320MB 512MB RAM
Xperia PLAY CDMA,Sony,False,False,False,False,"2011, February. Released 2011, May",Discontinued,175 g (6.17 oz),119,62,16 mm (4.69,Mini-SIM,"LED-backlit LCD,","4.0 inches, 44.1 cm2(~59.8% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~245 ppi density)",59.8%,Android 2.3.4 (Gingerbread),Removable Li-Ion 1500 mAh battery,About 70 EUR,Qualcomm MSM8255 Snapdragon S2,"480 x 854 pixels, 16:9 ratio (~245 ppi density)",245 ppi density),"Wi-Fi 802.11 b/g/n, DLNA, hotspot","Black, White","Accelerometer, proximity, compass","2.1, A2DP",Adreno 205,False,True,Qualcomm MSM8255 Snapdragon S2,CDMA / EVDO,,,400MB 512MB RAM,400MB 512MB RAM
A8i,Sony,False,False,False,False,"2010, August. Released 2010, Q4",Discontinued,136 g (4.80 oz),117,59,14 mm (4.61,Mini-SIM,"TFT,  256K colors","3.5 inches, 33.8 cm2(~48.9% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~280 ppi density)",48.9%,Android-based OPhone 2.0,Removable Li-Po battery,About 130 EUR,,"480 x 854 pixels, 16:9 ratio (~280 ppi density)",280 ppi density),Wi-Fi 802.11 b/g,"White, Black","Accelerometer, proximity, compass","2.1, A2DP",,True,True,,GSM,,,,
Xperia X8,Sony,False,False,False,False,"2010, June. Released 2010, September",Discontinued,104 g (3.67 oz),99,54,15 mm (3.90,Mini-SIM,TFT,"3.0 inches, 26.8 cm2(~50.1% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~192 ppi density)",50.1%,"Android 1.6 (Donut), upgradable to 2.1 (Eclair)",Removable Li-Po 1200 mAh battery,About 100 EUR,Qualcomm MSM7227 Snapdragon S1,"320 x 480 pixels, 3:2 ratio (~192 ppi density)",192 ppi density),Wi-Fi 802.11 b/g,"White, Dark Blue/ White, Aqua Blue/ White, Pink/ White, Silver/ White","Accelerometer, proximity, compass","2.1, A2DP",Adreno 200,True,True,Qualcomm MSM7227 Snapdragon S1,GSM / HSPA,,,128MB 168MB RAM,128MB 168MB RAM
Cedar,Sony,False,False,False,False,"2010, June. Released 2010, September",Discontinued,84 g (2.96 oz),111,49,15.5 mm (4.37,Mini-SIM,"TFT, 256K colors","2.2 inches, 15.0 cm2(~27.6% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",27.6%,,Removable Li-Po 1000 mAh battery (BST-43),About 50 EUR,,"240 x 320 pixels, 4:3 ratio (~182 ppi density)",182 ppi density),No,"Black/Silver, Black/Red",,"2.1, A2DP",,True,True,,GSM / HSPA,,,,
Yendo,Sony,False,False,False,False,"2010, June. Released 2010, October",Discontinued,81 g (2.86 oz),93.5,52,15.5 mm (3.68,Mini-SIM,"TFT, 256K colors","2.6 inches, 20.9 cm2(~43.1% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~154 ppi density)",43.1%,,Removable Li-Po 970 mAh battery (BST-38),About 70 EUR,,"240 x 320 pixels, 4:3 ratio (~154 ppi density)",154 ppi density),No,"Black, Blue, Green, Orange, Pink, Purple, Red, Silver, White, Yellow",,"2.1, A2DP",,True,True,,GSM,,,,
BRAVIA S004,Sony,False,False,False,False,"2010, May. Released 2010, Q3",Discontinued,145 g (5.11 oz),111,51,18 mm (4.37,Mini-SIM,"TFT, 16M colors","3.2 inches, 28.2 cm2(~49.8% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~306 ppi density)",49.8%,,Removable Li-Po 930 mAh battery,About 210 EUR,Qualcomm QSD8250 Snapdragon S1,"480 x 854 pixels, 16:9 ratio (~306 ppi density)",306 ppi density),Wi-Fi 802.11 b/g (via external Wi-Fi WIN card),"Black, Red, Silver",Accelerometer,"2.0, A2DP",Adreno 200,True,False,Qualcomm QSD8250 Snapdragon S1,GSM,,,,
S003,Sony,False,False,False,False,"2010, May. Released 2010, Q3",Discontinued,154 g (5.43 oz),118,52,17.6 mm (4.65,Mini-SIM,"TFT, 26M colors","3.2 inches, 28.2 cm2(~46.0% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~306 ppi density)",46.0%,,Removable Li-Po 870 mAh battery,About 160 EUR,Qualcomm QSD8250 Snapdragon S1,"480 x 854 pixels, 16:9 ratio (~306 ppi density)",306 ppi density),No,Pink,Accelerometer,"2.0, A2DP",Adreno 200,True,False,Qualcomm QSD8250 Snapdragon S1,GSM,,,,
Zylo,Sony,False,False,False,False,"2010, April. Released 2010, July",Discontinued,115 g (4.06 oz),103,52,16 mm (4.06,Mini-SIM,"TFT, 256K colors","2.6 inches, 20.9 cm2(~39.1% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~154 ppi density)",39.1%,,Removable Li-Ion battery,About 80 EUR,,"240 x 320 pixels, 4:3 ratio (~154 ppi density)",154 ppi density),No,"Jazz Black, Chacha Silver, Swing Pink, Energetic Black, Meteorite White, Nebula Red",Accelerometer,"2.1, A2DP",,True,False,,GSM / HSPA,,,,
Spiro,Sony,False,False,False,False,"2010, April. Released 2010, August",Discontinued,90 g (3.17 oz),92,48,16.8 mm (3.62,Mini-SIM,"TFT, 256K colors","2.2 inches, 15.0 cm2(~33.9% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",33.9%,,Removable Li-Ion battery,About 80 EUR,,"240 x 320 pixels, 4:3 ratio (~182 ppi density)",182 ppi density),No,"Contrast Black, Sunset Pink, Spring Green, Stealth Black",,"2.1, A2DP",,True,True,,GSM,,,,
Xperia X10 mini pro,Sony,False,False,False,False,"2010, February. Released 2010, June",Discontinued,120 g (4.23 oz),90,52,17 mm (3.54,,TFT  (65K effective),"2.55 inches, 20.1 cm2(~43.0% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~157 ppi density)",43.0%,"Android 1.6 (Donut), upgradable to 2.1 (Eclair)",Removable Li-Po 930 mAh battery,About 70 EUR,Qualcomm MSM7227 Snapdragon S1,"240 x 320 pixels, 4:3 ratio (~157 ppi density)",157 ppi density),"Wi-Fi 802.11 b/g, hotspot (v2.2 or higher)","Black, Red, Pink","Accelerometer, proximity, compass","2.1, A2DP",Adreno 200,True,True,Qualcomm MSM7227 Snapdragon S1,GSM / HSPA,,,,
Xperia X10 mini,Sony,False,False,False,False,"2010, February. Released 2010, May",Discontinued,88 g (3.10 oz),83,50,16 mm (3.27,Mini-SIM,TFT  (65K effective),"2.55 inches, 20.1 cm2(~48.5% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~157 ppi density)",48.5%,"Android 1.6 (Donut), upgradable to 2.1 (Eclair)",Non-removable Li-Po 950 mAh battery,About 70 EUR,Qualcomm MSM7227 Snapdragon S1,"240 x 320 pixels, 4:3 ratio (~157 ppi density)",157 ppi density),"Wi-Fi 802.11 b/g, hotspot (v2.2 or higher)","Gold, Pearl White, Black, Pink, Lime, Red, Silver","Accelerometer, proximity, compass","2.0, A2DP, EDR",Adreno 200,True,True,Qualcomm MSM7227 Snapdragon S1,GSM / HSPA,,,,
Vivaz pro,Sony,False,False,False,False,"2010, February. Released 2010, May",Discontinued,117 g (4.13 oz),109,52,15 mm (4.29,,"TFT resistive touchscreen, 16M colors","3.2 inches, 28.2 cm2(~49.8% screen-to-body ratio)","360 x 640 pixels, 16:9 ratio (~229 ppi density)",49.8%,"Symbian Series 60, 5th edition",Removable Li-Po 1200 mAh battery,About 150 EUR,,"360 x 640 pixels, 16:9 ratio (~229 ppi density)",229 ppi density),"Wi-Fi 802.11 b/g, DLNA","Black, White",Accelerometer,"2.1, A2DP",,True,True,,GSM / HSPA,,,,
Aspen,Sony,False,False,False,False,"2010, February. Released 2010, July",Discontinued,130 g (4.59 oz),117,60,12.5 mm (4.61,,"TFT resistive touchscreen, 65K colors","2.4 inches, 17.8 cm2(~25.4% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~167 ppi density)",25.4%,Microsoft Windows Mobile 6.5.3 Professional,Removable Li-Po 1500 mAh battery,About 70 EUR,Qualcomm MSM7227 Snapdragon S1,"320 x 240 pixels, 4:3 ratio (~167 ppi density)",167 ppi density),Wi-Fi 802.11 b/g,"Iconic Black, White Silver",,"2.1, A2DP",Adreno 200,True,True,Qualcomm MSM7227 Snapdragon S1,GSM / HSPA,,,"256MB RAM, 256MB ROM, 100MB","256MB RAM, 256MB ROM, 100MB"
Vivaz,Sony,False,False,False,False,"2010, January. Released 2010, March",Discontinued,97 g (3.42 oz),107,51.7,12.5 mm (4.21,Mini-SIM,"TFT resistive touchscreen, 16M colors","3.2 inches, 28.2 cm2(~51.0% screen-to-body ratio)","360 x 640 pixels, 16:9 ratio (~229 ppi density)",51.0%,"Symbian Series 60, 5th edition",Removable Li-Po 1200 mAh battery,About 80 EUR,,"360 x 640 pixels, 16:9 ratio (~229 ppi density)",229 ppi density),"Wi-Fi 802.11 b/g, DLNA","Pink, Silver Moon, Cosmic Black, Galaxy Blue, Venus Ruby",Accelerometer,"2.1, A2DP",,True,True,,GSM / HSPA,,,,
Hazel,Sony,False,False,False,False,"2009, December. Released 2010, May",Discontinued,120 g (4.23 oz),102,49.5,16 mm (4.02,Mini-SIM,"TFT, 16M colors","2.6 inches, 20.9 cm2(~41.5% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~154 ppi density)",41.5%,,Removable Li-Po 1000 mAh battery (BST-43),About 110 EUR,,"240 x 320 pixels, 4:3 ratio (~154 ppi density)",154 ppi density),"Wi-Fi 802.11 b/g, DLNA","Superior Black, Passionate Rouge",Accelerometer,"2.1, A2DP",,True,False,,GSM / HSPA,,,,
Elm,Sony,False,False,False,False,"2009, December. Released 2010, March",Discontinued,90 g (3.17 oz),110,45,14 mm (4.33,Mini-SIM,"TFT, 256K colors","2.2 inches, 15.0 cm2(~30.3% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",30.3%,,Removable Li-Po 1000 mAh battery (BST-43),About 100 EUR,,"240 x 320 pixels, 4:3 ratio (~182 ppi density)",182 ppi density),"Wi-Fi 802.11 b/g, DLNA","Metal Black, Pearly Rose",Accelerometer,"2.1, A2DP, EDR",,True,False,,GSM / HSPA,,,,
Xperia Pureness,Sony,False,False,False,False,"2009, November. Released 2009, November",Discontinued,70 g (2.47 oz),102,43,13 mm (4.02,Mini-SIM,"Transparent, monochrome","1.8 inches, 10.0 cm2(~22.9% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~222 ppi density)",22.9%,,Non-removable Li-Po battery,About 240 EUR,,"240 x 320 pixels, 4:3 ratio (~222 ppi density)",222 ppi density),No,Black,,"2.1, A2DP",,True,False,,GSM / HSPA,,,,
Xperia X10,Sony,False,False,False,False,"2009, November. Released 2010, March",Discontinued,135 g (4.76 oz),119,63,13 mm (4.69,Mini-SIM,"TFT, 65K colors","4.0 inches, 44.1 cm2(~58.8% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~245 ppi density)",58.8%,"Android 1.6 (Donut), upgradable to 2.3 (Gingerbread)",Removable Li-Po 1500 mAh battery (BST-41),About 120 EUR,Qualcomm QSD8250 Snapdragon S1,"480 x 854 pixels, 16:9 ratio (~245 ppi density)",245 ppi density),"Wi-Fi 802.11 b/g, DLNA, hotspot","Sensous Black, Luster White","Accelerometer, proximity, compass","2.1, A2DP",Adreno 200,True,True,Qualcomm QSD8250 Snapdragon S1,GSM / HSPA,,,1GB 384MB RAM,1GB 384MB RAM
