name,brand,2G,3G,4G,5G,Announced,Status,Weight,Length,Width,Diameter,SIM,Display Type,Display Size,PPI,Body Ratio,OS,Battery_capacity,Price,CPU,Ratio,Pixel,WLAN,Colors,Sensors,Bluetooth,GPU,LoudSpeaker,3.5mm jack,Chipset,Network,Internal,Card slot,RAM,Storage
Xperia X2,Sony,False,False,False,False,"2009, September. Released 2010, January",Discontinued,155 g (5.47 oz),110,54,16 mm (4.33,,"TFT resistive touchscreen, 65K colors","3.2 inches, 29.1 cm2(~49.1% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~292 ppi density)",49.1%,Microsoft Windows Mobile 6.5/6.5.2 Professional,Removable Li-Po 1500 mAh battery (BST-41),About 140 EUR,Qualcomm MSM7200A,"480 x 800 pixels, 5:3 ratio (~292 ppi density)",292 ppi density),"Wi-Fi 802.11b/g, DLNA","Elegant Black, Modern Silver",Accelerometer,"2.1, A2DP",Adreno 130,False,True,Qualcomm MSM7200A,GSM / HSPA,,,110MB 256MB RAM 512MB ROM,110MB 256MB RAM 512MB ROM
Jalou D&G edition,Sony,False,False,False,False,"2009, August. Released 2009, November",Discontinued,84 g (2.96 oz),73,45,18.2 mm (2.87,Mini-SIM,"TFT, 256K colors","2.0 inches, 12.4 cm2(~37.7% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)",37.7%,,Removable Li-Ion battery,About 130 EUR,,"240 x 320 pixels, 4:3 ratio (~200 ppi density)",200 ppi density),No,Sparkling Rose,Accelerometer,"2.0, A2DP",,True,False,,GSM / HSPA,,,,
Jalou,Sony,False,False,False,False,"2009, August. Released 2009, October",Discontinued,84 g (2.96 oz),73,45,18.2 mm (2.87,Mini-SIM,"TFT, 256K colors","2.0 inches, 12.4 cm2(~37.7% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)",37.7%,,Removable Li-Ion battery,About 130 EUR,,"240 x 320 pixels, 4:3 ratio (~200 ppi density)",200 ppi density),No,"Onyx Black, Deep Amethyst, Aquamarine Blue",Accelerometer,"2.0, A2DP",,True,False,,GSM / HSPA,,,,
T715,Sony,False,False,False,False,"2009, June. Released 2009, September",Discontinued,96 g (3.39 oz),91.5,48,14.9 mm (3.60,Mini-SIM,"TFT, 16M colors","2.2 inches, 15.0 cm2(~34.1% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",34.1%,,Removable Li-Po 950 mAh battery (BST-33),About 130 EUR,,"240 x 320 pixels, 4:3 ratio (~182 ppi density)",182 ppi density),No,"Galaxy Silver, Rouge Pink",,"2.0, A2DP",,True,False,,GSM / HSPA,,,,
C901 GreenHeart,Sony,False,False,False,False,"2009, May. Released 2009, July",Discontinued,107 g (3.77 oz),105,45,13 mm (4.13,Mini-SIM,"TFT, 256K colors","2.2 inches, 15.0 cm2(~31.7% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",31.7%,,Removable Li-Po 950 mAh battery (BST-33),About 120 EUR,,"240 x 320 pixels, 4:3 ratio (~182 ppi density)",182 ppi density),No,Ocean White,Accelerometer,"2.0, A2DP",,True,False,,GSM / HSPA,,,,
J105 Naite,Sony,False,False,False,False,"2009, May. Released 2009, October",Discontinued,84 g (2.96 oz),108,47,12.6 mm (4.25,Mini-SIM,"TFT, 256K colors","2.2 inches, 15.0 cm2(~29.5% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",29.5%,,Removable Li-Po 950 mAh battery (BST-33),About 80 EUR,,"240 x 320 pixels, 4:3 ratio (~182 ppi density)",182 ppi density),No,"Vapour Silver, Ginger Red",,"2.0, A2DP",,True,False,,GSM / HSPA,,,,
Satio (Idou),Sony,False,False,False,False,"2009, February. Released 2009, October",Discontinued,126 g (4.44 oz),112,55,13 mm (4.41,Mini-SIM,"TFT resistive touchscreen, 16M colors","3.5 inches, 33.8 cm2(~54.8% screen-to-body ratio)","360 x 640 pixels, 16:9 ratio (~210 ppi density)",54.8%,"Symbian 9.4, Series 60 rel. 5",Removable Li-Po 1000 mAh battery,About 180 EUR,,"360 x 640 pixels, 16:9 ratio (~210 ppi density)",210 ppi density),"Wi-Fi 802.11 b/g, DLNA","Black, Silver, Bordeaux","Accelerometer, proximity","2.0, A2DP",PowerVR SGX,True,False,,GSM / HSPA,,,128MB; 256MB RAM,128MB; 256MB RAM
Aino,Sony,False,False,False,False,"2009, May. Released 2009, October",Discontinued,134 g (4.73 oz),104,50,15.5 mm (4.09,Mini-SIM,TFT,"3.0 inches, 24.6 cm2(~47.4% screen-to-body ratio)",240 x 432 pixels (~165 ppi density),47.4%,,Removable Li-Po 1000 mAh battery,About 120 EUR,,240 x 432 pixels (~165 ppi density),165 ppi density),"Wi-Fi 802.11 b/g, DLNA","Obsidian Black, Luminous White",Accelerometer,"2.1, A2DP",,False,False,,GSM / HSPA,,,,
Yari,Sony,False,False,False,False,"2009, May. Released 2009, September",Discontinued,115 g (4.06 oz),100,48,15.7 mm (3.94,Mini-SIM,"TFT, 16M colors","2.4 inches, 17.8 cm2(~37.2% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",37.2%,,Removable Li-Po 1000 mAh battery,About 120 EUR,,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",167 ppi density),No,"Achromatic Black, Cranberry White, Metal Rose",Accelerometer,"2.0, A2DP",,False,False,,GSM / HSPA,,,,
S312,Sony,False,False,False,False,"2009, April. Released 2009, June",Discontinued,80.1 g (2.82 oz),100,46,12.5 mm (3.94,Mini-SIM,"TFT, 256K colors","2.0 inches, 12.6 cm2(~27.4% screen-to-body ratio)",176 x 220 pixels (~141 ppi density),27.4%,,Removable Li-Po 930 mAh battery (BST-38),About 80 EUR,,176 x 220 pixels (~141 ppi density),141 ppi density),No,"Dawn Blue, Honey Silver",,"2.0, A2DP",,True,False,,GSM,,,,
W205,Sony,False,False,False,False,"2009, March. Released 2009, July",Discontinued,96 g (3.39 oz),92,47,16.4 mm (3.62,Mini-SIM,"TFT, 65K colors","1.8 inches, 10.2 cm2(~23.6% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),23.6%,,Removable Li-Ion battery,About 80 EUR,,128 x 160 pixels (~114 ppi density),114 ppi density),No,"Ambient Black, Sakura Pink, Windy Blue",,2.0,,True,False,,GSM,,,,
T707,Sony,False,False,False,False,"2009, March. Released 2009, May",Discontinued,95 g (3.35 oz),93,50,14.1 mm (3.66,Mini-SIM,"TFT, 256K colors","2.2 inches, 15.0 cm2(~32.2% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",32.2%,,Removable Li-Ion battery,About 110 EUR,,"240 x 320 pixels, 4:3 ratio (~182 ppi density)",182 ppi density),No,"Mysterious Black, Spring Rose, Lucid Blue, Lime Forest, Sensitive Bronze",,"2.0, A2DP",,True,False,,GSM / HSPA,,,,
W995,Sony,False,False,False,False,"2009, February. Released 2009, May",Discontinued,113 g (3.99 oz),97,49,15 mm (3.82,Mini-SIM,"TFT, 256K colors","2.6 inches, 20.9 cm2(~44.0% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~154 ppi density)",44.0%,,Removable Li-Po 930 mAh battery (BST-38),About 100 EUR,,"240 x 320 pixels, 4:3 ratio (~154 ppi density)",154 ppi density),"Wi-Fi 802.11 b/g, DLNA","Progressive Black, Cosmic Silver, Energetic Red",Accelerometer,"2.0, A2DP",,False,True,,GSM / HSPA,,,,
C903,Sony,False,False,False,False,"2009, February. Released 2009, July",Discontinued,96 g (3.39 oz),97,49,16 mm (3.82,Mini-SIM,"TFT, 256K colors","2.4 inches, 17.8 cm2(~37.5% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",37.5%,,Removable Li-Po 1000 mAh battery,About 110 EUR,,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",167 ppi density),No,"Lacquer Black, Techno White, Glamour Red, Metal Pink, Warm Silver",Accelerometer,"2.0, A2DP",,True,False,,GSM / HSPA,,,,
C901,Sony,False,False,False,False,"2009, February. Released 2009, May",Discontinued,107 g (3.77 oz),105,45,13 mm (4.13,Mini-SIM,"TFT, 256K colors","2.2 inches, 15.0 cm2(~31.7% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",31.7%,,Removable Li-Po 950 mAh battery,About 110 EUR,,"240 x 320 pixels, 4:3 ratio (~182 ppi density)",182 ppi density),No,"Noble Black, Sincere Silver, Precious Peach",Accelerometer,"2.0, A2DP",,True,False,,GSM / HSPA,,,,
W395,Sony,False,False,False,False,"2009, February. Released 2009, March",Discontinued,96 g (3.39 oz),96,47,14.9 mm (3.78,Mini-SIM,"TFT, 256K colors","2.0 inches, 12.6 cm2(~27.9% screen-to-body ratio)",176 x 220 pixels (~141 ppi density),27.9%,,Removable Li-Ion 950 mAh battery,About 80 EUR,,176 x 220 pixels (~141 ppi density),141 ppi density),No,"Dusky Grey, Blush Titanium, Fiesta Black, Happy Pink",,"2.0, A2DP",,False,False,,GSM,,,,
C510,Sony,False,False,False,False,"2009, January. Released 2009, February",Discontinued,92 g (3.25 oz),107,47,12.5 mm (4.21,Mini-SIM,"TFT, 256K colors","2.2 inches, 15.0 cm2(~29.8% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",29.8%,,Removable Li-Po 930 mAh battery,About 110 EUR,,"240 x 320 pixels, 4:3 ratio (~182 ppi density)",182 ppi density),No,"Future Black, Radiation Silver, Energetic Red",Accelerometer,"2.0, A2DP",,True,False,,GSM / HSPA,,,,
W508,Sony,False,False,False,False,"2009, January. Released 2009, May",Discontinued,98 g (3.46 oz),93.5,50,14 mm (3.68,Mini-SIM,"TFT, 256K colors","2.2 inches, 15.0 cm2(~32.1% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",32.1%,,Removable Li-Po 930 mAh battery,About 100 EUR,,"240 x 320 pixels, 4:3 ratio (~182 ppi density)",182 ppi density),No,"Metal Grey, Poetic White",Accelerometer,"2.0, A2DP",,True,False,,GSM / HSPA,,,,
W715,Sony,False,False,False,False,"2009, January. Released 2009, June",Discontinued,98 g (3.46 oz),95,47.5,14.3 mm (3.74,Mini-SIM,"TFT, 256K colors","2.4 inches, 17.8 cm2(~39.5% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",39.5%,,Removable Li-Ion 1000 mAh battery,About 120 EUR,,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",167 ppi density),"Wi-Fi 802.11 b/g, DLNA","Galactic Black, Luxury Silver",Accelerometer,"2.0, A2DP",,True,False,,GSM / HSPA,,,,
W705,Sony,False,False,False,False,"2008, October. Released 2009, March",Discontinued,98 g (3.46 oz),95,47.5,14.3 mm (3.74,Mini-SIM,"TFT, 256K colors","2.4 inches, 17.8 cm2(~39.5% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",39.5%,,Removable Li-Po 950 mAh battery,About 160 EUR,,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",167 ppi density),"Wi-Fi 802.11 b/g, DLNA","Luxury Silver, Passionate Red",Accelerometer,"2.0, A2DP",,True,False,,GSM / HSPA,,,,
G705,Sony,False,False,False,False,"2008, September. Released 2008, November",Discontinued,98 g (3.46 oz),95,47,14.3 mm (3.74,Mini-SIM,"TFT, 256K colors","2.4 inches, 17.8 cm2(~39.9% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",39.9%,,Removable Li-Po 950 mAh battery (BST-33),About 150 EUR,,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",167 ppi density),"Wi-Fi 802.11 b/g, DLNA","Silky Gold, Majestic Black",Accelerometer,"2.0, A2DP",,True,False,,GSM / HSPA,,,,
TM506,Sony,False,False,False,False,"2008, August. Released 2008, September",Discontinued,96 g (3.39 oz),95,48,17 mm (3.74,Mini-SIM,"TFT, 256K colors","2.0 inches, 12.4 cm2(~27.2% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)",27.2%,,Removable Li-Po 950 mAh battery,About 80 EUR,,"240 x 320 pixels, 4:3 ratio (~200 ppi density)",200 ppi density),No,"Chrome with Amber, Emerald, Scarlet",,"2.0, A2DP",,True,False,,GSM / HSPA,,,,
T700,Sony,False,False,False,False,"2008, August. Released 2008, September",Discontinued,78 g (2.75 oz),104,48,10 mm (4.09,Mini-SIM,"TFT, 256K colors","2.0 inches, 12.4 cm2(~24.8% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)",24.8%,,Removable Li-Po 950 mAh battery (BST-33),About 130 EUR,,"240 x 320 pixels, 4:3 ratio (~200 ppi density)",200 ppi density),No,"Black on Silver, Black on Red, Silver, Black, Red on Silver",,"2.0, A2DP",,True,False,,GSM / HSPA,,,,
W902,Sony,False,False,False,False,"2008, July. Released 2008, October",Discontinued,99.8 g (3.49 oz),110,49,11.7 mm (4.33,Mini-SIM,"TFT, 256K colors","2.2 inches, 15.0 cm2(~27.8% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",27.8%,,Removable Li-Ion 930 mAh battery,About 180 EUR,,"240 x 320 pixels, 4:3 ratio (~182 ppi density)",182 ppi density),No,"Volcanic Black, Wine Red, Earth Green",Accelerometer,"2.0, A2DP",,True,False,,GSM / HSPA,,,,
W595,Sony,False,False,False,False,"2008, July. Released 2008, September",Discontinued,104 g (3.67 oz),100,47,14 mm (3.94,Mini-SIM,"TFT, 256K colors","2.2 inches, 15.0 cm2(~31.9% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",31.9%,,Removable Li-Ion 950 mAh battery (BST-33),About 120 EUR,,"240 x 320 pixels, 4:3 ratio (~182 ppi density)",182 ppi density),No,"Jungle Grey, Lava Black, Ruby Black, Cosmopolitan White, Active Blue, Peachy Pink, Sandy Gold",Accelerometer,"2.0, A2DP",,False,False,,GSM / HSPA,,,,
W595s,Sony,False,False,False,False,"2008, July. Released 2008, September",Discontinued,105 g (3.70 oz),100,47,14 mm (3.94,Mini-SIM,"TFT, 256K colors","2.2 inches, 15.0 cm2(~31.9% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",31.9%,,Removable Li-Po 950 mAh battery,About 150 EUR,,"240 x 320 pixels, 4:3 ratio (~182 ppi density)",182 ppi density),No,Dusty Blue,Accelerometer,"2.0, A2DP",,False,False,,GSM / HSPA,,,,
W302,Sony,False,False,False,False,"2008, July. Released 2008, October",Discontinued,78 g (2.75 oz),100,46,10.5 mm (3.94,Mini-SIM,"TFT, 256K colors","2.0 inches, 12.6 cm2(~27.4% screen-to-body ratio)",176 x 220 pixels (~141 ppi density),27.4%,,Removable Li-Po 950 mAh battery,About 80 EUR,,176 x 220 pixels (~141 ppi density),141 ppi density),No,"Midnight Black, Sparkling White, Indigo Blue",,"2.0, A2DP",,True,False,,GSM,,,,
C905,Sony,False,False,False,False,"2008, June. Released 2008, October",Discontinued,136 g (4.80 oz),104,49,18-19.5 mm,Mini-SIM,"TFT, 256K colors","2.4 inches, 17.8 cm2(~35.0% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",35.0%,,Removable Li-Po 930 mAh battery (BST-38),About 180 EUR,,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",167 ppi density),"Wi-Fi 802.11 b/g, DLNA","Night Black, Ice Silver, Copper Gold, Tender Rose",Accelerometer,"2.0, A2DP",,True,False,,GSM / HSPA,,,,
S302,Sony,False,False,False,False,"2008, June. Released 2008, December",Discontinued,79 g (2.79 oz),101,46,12 mm (3.98,Mini-SIM,"TFT, 256K colors","2.0 inches, 12.6 cm2(~27.1% screen-to-body ratio)",176 x 220 pixels (~141 ppi density),27.1%,,Removable Li-Po 950 mAh battery,About 70 EUR,,176 x 220 pixels (~141 ppi density),141 ppi density),No,"Thunder Grey, Crystal Blue",,"2.0, A2DP",,True,False,,GSM,,,,
F305,Sony,False,False,False,False,"2008, June. Released 2008, November",Discontinued,97.5 g (3.46 oz),96,47,14.6 mm (3.78,Mini-SIM,"TFT, 256K colors","2.0 inches, 12.6 cm2(~27.9% screen-to-body ratio)",176 x 220 pixels (~141 ppi density),27.9%,,Removable Li-Po 950 mAh battery,About 70 EUR,,176 x 220 pixels (~141 ppi density),141 ppi density),No,"Polar White, Mystic Black, Raspberry Red, Tectonic Grey",,"2.0, A2DP",,True,False,,GSM,,,,
J132,Sony,False,False,False,False,"2008, June. Released 2009, January",Discontinued,76 g (2.68 oz),103,45,15.3 mm (4.06,Mini-SIM,"CSTN, 65K colors","1.5 inches, 7.3 cm2(~15.7% screen-to-body ratio)","128 x 128 pixels, 1:1 ratio (~121 ppi density)",15.7%,,Removable Li-Po 930 mAh battery,About 40 EUR,,"128 x 128 pixels, 1:1 ratio (~121 ppi density)",121 ppi density),No,"Night Black, Heaven Blue",,No,,True,False,,GSM,,,,
K330,Sony,False,False,False,False,"2008, June. Released 2008, September",Discontinued,75 g (2.65 oz),100,45,12 mm (3.94,Mini-SIM,"TFT, 65K colors","1.7 inches, 9.1 cm2(~20.2% screen-to-body ratio)",128 x 160 pixels (~121 ppi density),20.2%,,Removable Li-Po 770 mAh battery,About 50 EUR,,128 x 160 pixels (~121 ppi density),121 ppi density),No,"Gold on Black, Green on Black",,Yes,,True,False,,GSM,,,,
G502,Sony,False,False,False,False,"2008, April. Released 2008, June",Discontinued,83.5 g (2.93 oz),103,46,13.5 mm (4.06,Mini-SIM,"TFT, 256K colors","2.0 inches, 12.4 cm2(~26.1% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)",26.1%,,Removable Li-Po 950 mAh battery (BST-33),About 90 EUR,,"240 x 320 pixels, 4:3 ratio (~200 ppi density)",200 ppi density),No,"Champagne Black, Brilliant Hazel, Celerity Red",,"2.0, A2DP",,True,False,,GSM / HSPA,,,,
Z780,Sony,False,False,False,False,"2008, April",Discontinued,100 g (3.53 oz),92,49,16 mm (3.62,Mini-SIM,"TFT, 256K colors","2.2 inches, 15.0 cm2(~33.2% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",33.2%,,Removable Li-Po 950 mAh battery,About 90 EUR,,"240 x 320 pixels, 4:3 ratio (~182 ppi density)",182 ppi density),No,"Grand Onyx, Amethyst Silver",,"2.0, A2DP",,True,False,,GSM / HSPA,,,,
T303,Sony,False,False,False,False,"2008, March. Released 2008, August",Discontinued,93 g (3.28 oz),83,47,14.7 mm (3.27,Mini-SIM,"TFT, 65K colors","1.8 inches, 10.2 cm2(~26.1% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),26.1%,,Removable Li-Po 930 mAh battery (BST-38),About 60 EUR,,128 x 160 pixels (~114 ppi density),114 ppi density),No,"Shimmering Silver, Shadow Black",,2.0,,True,False,,GSM,,,,
Xperia X1,Sony,False,False,False,False,"2008, February. Released 2008, October",Discontinued,145 g (5.11 oz),110.5,52.6,17 mm (4.35,,"TFT resistive touchscreen, 65K colors","3.0 inches, 25.6 cm2(~44.1% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~311 ppi density)",44.1%,Microsoft Windows Mobile 6.1 Professional,Removable Li-Po 1500 mAh battery (BST-41),About 220 EUR,Qualcomm MSM7200,"480 x 800 pixels, 5:3 ratio (~311 ppi density)",311 ppi density),Wi-Fi 802.11b/g,"Solid Black, Steel Silver",,"2.0, A2DP",,True,False,Qualcomm MSM7200,GSM / HSPA,,,"256MB RAM, 512MB ROM","256MB RAM, 512MB ROM"
G900,Sony,False,False,False,False,"2008, February. Released 2008, May",Discontinued,99 g (3.49 oz),106,49,13 mm (4.17,Mini-SIM,"TFT resistive touchscreen, 256K colors","2.4 inches, 17.8 cm2(~34.3% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",34.3%,"Symbian, UIQ",Removable Li-Ion 950 mAh battery (BST-33),About 150 EUR,,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",167 ppi density),Wi-Fi 802.11b/g,"Dark Red, Dark Brown",,"2.0, A2DP",,True,False,,GSM / UMTS,,,,
G700,Sony,False,False,False,False,"2008, February. Released 2008, May",Discontinued,99 g (3.49 oz),106,49,13 mm (4.17,Mini-SIM,"TFT resistive touchscreen, 256K colors","2.4 inches, 17.8 cm2(~34.3% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",34.3%,"Symbian, UIQ",Removable Li-Po 950 mAh battery (BST-33),About 80 EUR,,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",167 ppi density),No,Silk Bronze,,"2.0, A2DP",,True,False,,GSM / UMTS,,,,
G700 Business Edition,Sony,False,False,False,False,"2008, June. Released 2008",Discontinued,99 g (3.49 oz),106,49,13 mm (4.17,Mini-SIM,"TFT resistive touchscreen, 256K colors","2.4 inches, 17.8 cm2(~34.3% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",34.3%,"Symbian, UIQ",Removable Li-Po 950 mAh battery (BST-33),About 100 EUR,,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",167 ppi density),No,Mineral Gray,,"2.0, A2DP",,True,False,,GSM / UMTS,,,,
W980,Sony,False,False,False,False,"2008, February. Released 2008, July",Discontinued,100 g (3.53 oz),92,46,16.9 mm (3.62,Mini-SIM,"TFT, 256K colors","2.2 inches, 15.0 cm2(~35.4% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",35.4%,,Removable Li-Po 930 mAh battery (BST-38),About 150 EUR,,"240 x 320 pixels, 4:3 ratio (~182 ppi density)",182 ppi density),No,"Piano Black, Opera Brown, Violin Red",Accelerometer,"2.0, A2DP",,False,False,,GSM / HSPA,,,,
C902,Sony,False,False,False,False,"2008, February. Released 2008, June",Discontinued,107 g (3.77 oz),108,49,10.5 mm (4.25,Mini-SIM,"TFT, 256K colors","2.0 inches, 12.4 cm2(~23.4% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)",23.4%,,Removable Li-Po 930 mAh battery (BST-38),About 130 EUR,,"240 x 320 pixels, 4:3 ratio (~200 ppi density)",200 ppi density),No,"Swift Black, Luscious Red, Titanium Silver, Cinnamon Bronze",Accelerometer,"2.0, A2DP",,True,False,,GSM / HSPA,,,,
C702,Sony,False,False,False,False,"2008, February. Released 2008, June",Discontinued,105 g (3.70 oz),106,48,15.5 mm (4.17,Mini-SIM,"TFT, 256K colors","2.2 inches, 15.0 cm2(~29.5% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",29.5%,,Removable Li-Ion 950 mAh battery (BST-33),About 130 EUR,,"240 x 320 pixels, 4:3 ratio (~182 ppi density)",182 ppi density),No,"Speed Black, Cool Cyan, Energy Black",,"2.0, A2DP",,True,False,,GSM / HSPA,,,,
Z770,Sony,False,False,False,False,"2008, February. Released 2008, March",Discontinued,91 g (3.21 oz),93,48,16 mm (3.66,Mini-SIM,"TFT, 256K colors","2.2 inches, 15.0 cm2(~33.6% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",33.6%,,Removable Li-Po 930 mAh battery (BST-38),About 110 EUR,,"240 x 320 pixels, 4:3 ratio (~182 ppi density)",182 ppi density),No,"Vogue Red, Graphite Black,Exquisite Gold",,"2.0, A2DP",,True,False,,GSM / HSPA,,,,
T280,Sony,False,False,False,False,"2008, January. Released 2008, May",Discontinued,82 g (2.89 oz),100,45,13 mm (3.94,Mini-SIM,"TFT, 65K colors","1.7 inches, 9.1 cm2(~20.2% screen-to-body ratio)",128 x 160 pixels (~121 ppi density),20.2%,,Removable Li-Po 780 mAh battery (BST-36),About 60 EUR,,128 x 160 pixels (~121 ppi density),121 ppi density),No,"Silver on Black, Copper on Silver, Firmanent Blue, Blossom Pink",,Yes,,True,False,,GSM,,,,
T270,Sony,False,False,False,False,"2008, January. Released 2008",Discontinued,82 g (2.89 oz),100,45,13 mm (3.94,Mini-SIM,"TFT, 65K colors","1.7 inches, 9.1 cm2(~20.2% screen-to-body ratio)",128 x 160 pixels (~121 ppi density),20.2%,,Removable Li-Ion 780 mAh battery (BST-36),About 120 EUR,,128 x 160 pixels (~121 ppi density),121 ppi density),No,"Silver on Black, Copper on Silver",,Yes,,True,False,,GSM,,,,
